Category,Phrase,CES,Multiple CES,CNP-specific
NP,amazing view,Aesthetic,,CNP 
NP,amazing vista,Aesthetic,,CNP 
NP,amazing waterfall,Aesthetic,, 
NP,amazing wildlife,Biological,, 
NP,american art,Cultural,, 
NP,american artifact,Cultural,, 
NP,american artist,Cultural,, 
NP,american condor,Biological,,CNP
NP,american craft,Cultural,, 
NP,american crocodile,Biological,, 
NP,american culture,Cultural,, 
NP,american gem,Identity,, 
NP,american history,Educational,, 
NP,american icon,Cultural,, 
NP,american treasure,Identity,, 
NP,american tribe,Cultural,, 
NP,amount of wildlife,Biological,, 
NP,ancestral Pueblo,Cultural,, 
NP,ancestral Puebloan,Cultural,, 
NP,ancestral Puebloans,Cultural,, 
NP,ancient Anasazi,Cultural,, 
NP,ancient culture,Cultural,, 
NP,ancient glacier,Identity,, 
NP,ancient lava,Identity,, 
NP,ancient log,Identity,1, 
NP,ancient log,Cultural,2, 
NP,ancient people,Cultural,, 
NP,ancient petroglyph,Cultural,, 
NP,ancient Petroglyphs,Cultural,, 
NP,ancient Pueblo,Cultural,, 
NP,ancient Puebloan,Cultural,, 
NP,ancient rock,Identity,, 
NP,ancient rock art,Cultural,, 
NP,ancient rock formation,Identity,, 
NP,ancient ruin,Cultural,, 
NP,ancient tree,Biological,, 
NP,ancient village,Cultural,, 
NP,andean condor,Biological,,CNP
NP,andean duck,Biological,,CNP
NP,andean forest,Biological,,CNP
NP,andean gull,Biological,,CNP
NP,andean landscape,Biological,,CNP
NP,andean moorland,Biological,,CNP
NP,andean mountain,Identity,,CNP
NP,andean nature,Identity,,CNP
NP,andean paramo,Identity,1,CNP
NP,andean paramo,Biological,2,CNP
NP,andean park,Biological,,CNP
NP,andean toucan,Biological,,CNP
NP,andean turkey,Biological,,CNP
NP,andean vegetation,Biological,,CNP
NP,animal and plant,Biological,, 
NP,animal life,Biological,,CNP 
NP,animal sighting,Biological,, 
NP,animal viewing,Biological,, 
VP,appreciate all nature,Biological,, 
VP,appreciate amazing scenery,Aesthetic,, 
VP,appreciate amazing sight,Aesthetic,, 
VP,appreciate amazingness,Spiritual,, 
VP,appreciate awesome view,Aesthetic,, 
VP,appreciate beauty,Aesthetic,, 
VP,appreciate beauty of lake,Aesthetic,,CNP
VP,appreciate canyon,Identity,, 
VP,appreciate color,Aesthetic,, 
VP,appreciate depth of rivers,Identity,, 
VP,appreciate desert,Identity,, 
VP,appreciate different view,Aesthetic,, 
VP,appreciate diversity,Social,, 
VP,appreciate endemic flora,Biological,,CNP
VP,appreciate enormity,Spiritual,, 
VP,appreciate fabulous view,Aesthetic,, 
VP,appreciate geology,Educational,, 
VP,appreciate grandeur,Aesthetic,, 
VP,appreciate great variety of plant,Biological,,CNP
VP,appreciate history,Cultural,, 
VP,appreciate immensity,Spiritual,, 
VP,appreciate its beauty,Aesthetic,, 
VP,appreciate its grandeur,Aesthetic,, 
VP,appreciate its history,Educational,1, 
VP,appreciate its history,Cultural,2, 
VP,appreciate its unique beauty,Aesthetic,, 
VP,appreciate landscape,Aesthetic,,CNP 
VP,appreciate magnitude,Aesthetic,, 
VP,appreciate natural beauty,Aesthetic,, 
VP,appreciate natural scenery,Aesthetic,, 
VP,appreciate natural wonder,Aesthetic,, 
VP,appreciate nature,Spiritual,,CNP 
VP,appreciate park,Aesthetic,,CNP
VP,appreciate plant and animal,Biological,,CNP
VP,appreciate power of nature,Aesthetic,1, 
VP,appreciate power of nature,Spiritual,2, 
VP,appreciate rock formation,Identity,, 
VP,appreciate scenery,Aesthetic,, 
VP,appreciate serenity,Spiritual,, 
VP,appreciate solitude,Spiritual,,CNP
,appreciate spectacular view,Aesthetic,,
VP,appreciate splendor,Aesthetic,, 
VP,appreciate this park,Aesthetic,1, 
VP,appreciate this park,Recreational,2, 
VP,appreciate this place,Aesthetic,1, 
VP,appreciate this place,Recreational,2, 
VP,appreciate this wonder,Aesthetic,, 
VP,appreciate this wonderful place,Aesthetic,, 
VP,appreciate tree,Biological,, 
VP,appreciate true beauty,Aesthetic,, 
VP,appreciate vastness,Spiritual,, 
VP,appreciate view,Aesthetic,, 
VP,appreciate wildlife,Biological,, 
VP,appreciate wonder of nature,Aesthetic,, 
NP,appreciation of Andes Mountains,Identity,,CNP
NP,appreciation of fauna,Biological,,CNP
NP,archeological site,Educational,, 
VP,arrange horseback ride,Recreational,,CNP
NP,aspen tree,Biological,, 
NP,astonishing view,Aesthetic,, 
NP,astronomy event,Educational,, 
NP,astronomy program,Educational,, 
NP,astronomy talk,Educational,, 
VP,attempt big hike,Recreational,,CNP
VP,attempt hike,Recreational,,CNP
VP,attend astronomy program,Educational,, 
VP,attend family wedding,Social,, 
VP,attend ranger program,Educational,, 
VP,attend ranger talk,Educational,, 
VP,attend service,Social,, 
VP,attend wedding,Social,, 
VP,attend wedding ceremony,Social,, 
NP,attractive place,Aesthetic,,CNP 
VP,award with amazing view,Aesthetic,, 
VP,award with great view,Aesthetic,, 
VP,awe by beauty,Aesthetic,, 
VP,awe by force,Spiritual,, 
VP,awe by immensity,Spiritual,, 
VP,awe by nature,Aesthetic,, 
VP,awe by scenery,Aesthetic,, 
VP,awe by sight,Aesthetic,, 
VP,awe by view,Aesthetic,, 
NP,awe inspiring place,Aesthetic,, 
NP,awe inspiring view,Aesthetic,, 
NP,awesome beauty,Aesthetic,, 
NP,awesome hike,Recreational,, 
NP,awesome photo,Aesthetic,, 
NP,awesome picture,Aesthetic,, 
NP,awesome place,Aesthetic,,CNP 
NP,awesome scenery,Aesthetic,, 
NP,awesome sight,Aesthetic,, 
NP,awesome view,Aesthetic,,CNP 
NP,baby alligator,Biological,, 
NP,baby bear,Biological,, 
NP,baby bison,Biological,, 
NP,baby gator,Biological,, 
NP,baby llama,Biological,,CNP 
NP,baby moose,Biological,, 
NP,back country,Identity,, 
NP,backcountry camping,Recreational,, 
VP,backpack to,Recreational,, 
NP,backpacking trip,Recreational,, 
VP,bake in sun,Recreational,, 
NP,bald eagle,Biological,, 
VP,bask in sun,Recreational,, 
NP,bat flight,Biological,, 
NP,bat flight program,Educational,, 
NP,bat program,Educational,, 
VP,bathe in sunshine,Spiritual,, 
VP,be above tree line,Biological,, 
VP,be alone with nature,Spiritual,,CNP
VP,be also ideal for fishing,Recreational,,CNP
VP,be amazing view,Aesthetic,, 
VP,be at altitude,Identity,1,CNP
VP,be at altitude,Recreational,2,CNP
VP,be at high altitude,Recreational,1,CNP 
VP,be at high altitude,Spiritual,2,CNP 
VP,be at high elevation,Recreational,, 
VP,be at high elevation,Aesthetic,, 
VP,be at low elevation,Identity,, 
VP,be at low point,Identity,, 
VP,be at peace,Spiritual,,CNP 
VP,be at peace with nature,Spiritual,,CNP
VP,be at such high elevation,Identity,, 
VP,be away from city,Spiritual,,CNP
VP,be away from civilization,Spiritual,,CNP
VP,be awesome sight,Aesthetic,, 
VP,be beautiful day,Aesthetic,, 
VP,be beautiful drive,Aesthetic,, 
VP,be beautiful hike,Recreational,, 
VP,be beautiful scenery,Aesthetic,, 
VP,be beautiful view,Aesthetic,, 
VP,be beautiful walk,Recreational,, 
VP,be beautiful waterfall,Aesthetic,, 
VP,be bird,Biological,,CNP 
VP,be bit of climb,Recreational,, 
VP,be bit of walk,Recreational,, 
VP,be breathtaking,Aesthetic,, 
VP,be breathtakingly beautiful,Aesthetic,, 
VP,be bucket list,Recreational,, 
VP,be cherished memory,Spiritual,, 
VP,be complete silence,Spiritual,, 
VP,be easy walk,Recreational,, 
VP,be elk,Biological,, 
VP,be experience of lifetime,Spiritual,1, 
VP,be experience of lifetime,Educational,2, 
VP,be extremely peaceful,Spiritual,, 
VP,be family,Social,, 
VP,be family with kid,Social,, 
VP,be favorite,Aesthetic,, 
VP,be favorite place,Aesthetic,1, 
VP,be favorite place,Spiritual,2, 
VP,be full day adventure,Recreational,, 
VP,be full day hike,Recreational,, 
VP,be fun adventure,Recreational,, 
VP,be fun for child,Social,, 
VP,be fun for entire family,Social,, 
VP,be fun for family,Social,, 
VP,be fun for family and kid,Social,, 
VP,be fun for kid,Social,, 
VP,be fun for whole family,Social,, 
VP,be fun hike,Recreational,, 
VP,be geocacher,Recreational,, 
VP,be geologist,Educational,, 
VP,be geology,Educational,, 
VP,be good for family,Social,, 
VP,be good for kid,Social,, 
VP,be good swimming,Recreational,, 
VP,be gorgeous drive,Aesthetic,, 
VP,be gorgeous view,Aesthetic,, 
VP,be great adventure,Recreational,, 
VP,be great escape from city,Spiritual,,CNP
VP,be great memory,Spiritual,, 
VP,be great place for lunch,Social,, 
VP,be great place for picnic lunch,Social,, 
VP,be great spot for picnic,Social,, 
VP,be great spot for picture,Aesthetic,, 
VP,be great sunrise,Aesthetic,, 
VP,be great view,Aesthetic,, 
VP,be hidden gem,Identity,, 
VP,be high in altitude,Identity,,CNP 
VP,be historical building,Cultural,, 
VP,be in another world,Spiritual,, 
VP,be in awe at beauty,Aesthetic,, 
VP,be in awe of all beauty,Aesthetic,, 
VP,be in awe of beauty,Aesthetic,, 
VP,be in awe of color,Aesthetic,, 
VP,be in awe of majestic beauty,Aesthetic,, 
VP,be in awe of mother nature,Aesthetic,1, 
VP,be in awe of mother nature,Spiritual,2, 
VP,be in awe of natural beauty,Aesthetic,, 
VP,be in awe of nature,Spiritual,, 
VP,be in awe of scenery,Aesthetic,, 
VP,be in awe of view,Aesthetic,, 
VP,be in contact with nature,Spiritual,,CNP 
VP,be in different planet,Spiritual,, 
VP,be in different world,Spiritual,, 
VP,be in Disney movie,Cultural,, 
VP,be in enchanted forest,Identity,1, 
VP,be in enchanted forest,Spiritual,2, 
VP,be in enchanted forest,Biological,3, 
VP,be in enchanted forest,Biological,3, 
VP,be in mountain,Recreational,,CNP
VP,be in silence,Spiritual,,CNP
VP,be in touch with nature,Spiritual,,CNP
VP,be in wilderness,Aesthetic,1, 
VP,be in wilderness,Spiritual,2, 
VP,be interested in botany,Biological,,CNP
VP,be interested in plant,Biological,,CNP
VP,be intermittent mist,Spiritual,1,CNP
VP,be intermittent mist,Biological,2,CNP
VP,be intermittent mist and shower,Aesthetic,,CNP
VP,be into serious hiking,Recreational,,CNP
VP,be kid with my family,Social,, 
VP,be kid with my parent,Social,, 
VP,be lake,Identity,,CNP
VP,be life source,Spiritual,,CNP
VP,be lifetime experience,Spiritual,, 
VP,be lifetime memory,Spiritual,, 
VP,be little girl,Social,, 
VP,be little kid,Social,, 
VP,be lot of andean wildlife,Biological,,CNP
VP,be lot of bird,Biological,, 
VP,be lot of deer,Biological,, 
VP,be lot of fantastic view,Aesthetic,, 
VP,be lot of flower,Aesthetic,1, 
VP,be lot of flower,Biological,2, 
VP,be lot of fog,Biological,,CNP
VP,be lot of history,Educational,, 
VP,be lot of wind,Identity,,CNP
VP,be many deer,Biological,, 
VP,be many geyser,Aesthetic,1, 
VP,be many geyser,Identity,2, 
VP,be many trail to hike,Recreational,,CNP
VP,be memorable experience,Recreational,1, 
VP,be memorable experience,Spiritual,2, 
VP,be memory,Spiritual,, 
VP,be moderate hike,Recreational,, 
VP,be most wet forest,Biological,,CNP
VP,be mountain goat,Biological,, 
VP,be museum,Cultural,, 
VP,be must for bucket list,Recreational,, 
VP,be national landmark,Identity,, 
VP,be national monument,Identity,, 
VP,be nice drive,Recreational,, 
VP,be nice hike,Recreational,, 
VP,be nice picnic,Recreational,, 
VP,be nice quiet walk,Recreational,, 
VP,be on another planet,Spiritual,, 
VP,be on different planet,Spiritual,, 
VP,be on hike,Recreational,,CNP 
VP,be on moon,Aesthetic,1, 
VP,be on moon,Recreational,2, 
VP,be on top of world,Spiritual,, 
VP,be on trail,Recreational,, 
VP,be on your bucket list,Recreational,, 
VP,be part of history,Cultural,, 
VP,be photographer dream,Aesthetic,, 
VP,be photographer paradise,Aesthetic,, 
VP,be plenty of wildlife,Biological,, 
VP,be pure american heritage,Cultural,, 
VP,be quite peaceful,Spiritual,, 
VP,be really peaceful,Spiritual,, 
VP,be rough walking,Recreational,,CNP
VP,be sand dune,Recreational,, 
VP,be short drive,Recreational,, 
VP,be short hike,Recreational,, 
VP,be short walk,Recreational,, 
VP,be snow and ice,Aesthetic,, 
VP,be so peaceful,Spiritual,, 
VP,be source of inspiration,Spiritual,,CNP
VP,be spectacular drive,Aesthetic,1, 
VP,be spectacular drive,Recreational,2, 
VP,be spectacular hike,Recreational,, 
VP,be spectacular view,Aesthetic,, 
VP,be spectacular waterfall,Aesthetic,, 
VP,be splendid view,Aesthetic,, 
VP,be strenuous hike,Recreational,, 
VP,be together with family,Social,,CNP
VP,be variety of hiking trail,Recreational,,CNP
VP,be very peaceful,Spiritual,, 
VP,be water source of city,Identity,,CNP
VP,be with family,Social,, 
VP,be with friend,Social,,CNP
VP,be World Heritage site,Cultural,, 
NP,beach area,Recreational,, 
NP,beach sand,Identity,, 
NP,bear and cub,Biological,, 
NP,bear and deer,Biological,, 
NP,bear and wolf,Biological,, 
NP,bear cub,Biological,, 
NP,bear with cub,Biological,, 
NP,beautiful and magical place,Aesthetic,,CNP 
NP,beautiful andean landscape,Aesthetic,,CNP
NP,beautiful animal,Biological,,CNP 
NP,beautiful arch,Aesthetic,, 
NP,beautiful area,Aesthetic,,CNP 
NP,beautiful beach,Aesthetic,, 
NP,beautiful bird,Aesthetic,1,CNP 
NP,beautiful bird,Biological,2,CNP 
NP,beautiful building,Aesthetic,, 
NP,beautiful canyon,Aesthetic,, 
NP,beautiful cave,Aesthetic,, 
NP,beautiful chapel,Aesthetic,, 
NP,beautiful color,Aesthetic,, 
NP,beautiful country,Aesthetic,,CNP 
NP,beautiful creation,Aesthetic,, 
NP,beautiful creek,Aesthetic,, 
NP,beautiful desert,Aesthetic,, 
NP,beautiful drive,Aesthetic,,CNP 
NP,beautiful dune,Aesthetic,, 
NP,beautiful easy hike,Aesthetic,1, 
NP,beautiful easy hike,Recreational,2, 
NP,beautiful ecuador,Aesthetic,,CNP
NP,beautiful environment,Aesthetic,,CNP 
NP,beautiful fall,Aesthetic,, 
NP,beautiful fall color,Aesthetic,, 
NP,beautiful flora,Biological,,CNP 
NP,beautiful flower,Aesthetic,,CNP 
NP,beautiful forest,Aesthetic,,CNP 
NP,beautiful formation,Aesthetic,, 
NP,beautiful high altitude,Aesthetic,,CNP
NP,beautiful high mountain,Aesthetic,,CNP 
NP,beautiful highland,Aesthetic,,CNP
NP,beautiful hike,Recreational,,CNP 
NP,beautiful hiking,Recreational,, 
NP,beautiful historic building,Aesthetic,, 
NP,beautiful hot spring,Aesthetic,, 
NP,beautiful lagoon,Aesthetic,,CNP
NP,beautiful lake,Aesthetic,,CNP 
NP,beautiful landscape,Aesthetic,,CNP 
NP,beautiful lodge,Aesthetic,, 
NP,beautiful meadow,Aesthetic,, 
NP,beautiful mountain,Aesthetic,,CNP 
NP,beautiful mountain view,Aesthetic,, 
NP,beautiful national park,Aesthetic,,CNP 
NP,beautiful natural landscape,Aesthetic,,CNP 
NP,beautiful natural park,Aesthetic,,CNP 
NP,beautiful natural site,Aesthetic,,CNP 
NP,beautiful nature,Aesthetic,,CNP 
NP,beautiful overlook,Aesthetic,, 
NP,beautiful panoramic view,Aesthetic,, 
NP,beautiful paradise,Aesthetic,,CNP 
NP,beautiful paramo,Aesthetic,,CNP
NP,beautiful park,Aesthetic,,CNP 
NP,beautiful photo,Aesthetic,, 
NP,beautiful photo opportunity,Aesthetic,, 
NP,beautiful picnic,Social,, 
NP,beautiful picture,Aesthetic,, 
NP,beautiful place,Aesthetic,,CNP 
NP,beautiful polylepis,Aesthetic,,CNP
NP,beautiful rainbow,Aesthetic,, 
NP,beautiful red rock,Identity,, 
NP,beautiful ride,Aesthetic,, 
NP,beautiful river,Aesthetic,, 
NP,beautiful rock,Aesthetic,, 
NP,beautiful rock formation,Aesthetic,, 
NP,beautiful sand,Aesthetic,, 
NP,beautiful scene,Aesthetic,, 
NP,beautiful scenery,Aesthetic,,CNP 
NP,beautiful scenic view,Aesthetic,, 
NP,beautiful short hike,Recreational,, 
NP,beautiful sight,Aesthetic,,CNP 
NP,beautiful site,Aesthetic,,CNP 
NP,beautiful snow,Aesthetic,, 
NP,beautiful space,Aesthetic,,CNP 
NP,beautiful spot,Aesthetic,, 
NP,beautiful stalagmite,Aesthetic,, 
NP,beautiful stream,Aesthetic,, 
NP,beautiful sunrise,Aesthetic,, 
NP,beautiful sunset,Aesthetic,, 
NP,beautiful surrounding,Aesthetic,, 
NP,beautiful tourist site,Aesthetic,,CNP 
NP,beautiful trail,Aesthetic,,CNP 
NP,beautiful tree,Aesthetic,, 
NP,beautiful valley,Aesthetic,, 
NP,beautiful vegetation,Aesthetic,,CNP 
NP,beautiful view,Aesthetic,,CNP 
NP,beautiful viewpoint,Aesthetic,, 
NP,beautiful visit,Aesthetic,,CNP 
NP,beautiful vista,Aesthetic,,CNP 
NP,beautiful walk,Aesthetic,,CNP 
NP,beautiful water,Aesthetic,, 
NP,beautiful water fall,Aesthetic,, 
NP,beautiful waterfall,Aesthetic,,CNP 
NP,beautiful white sand,Aesthetic,, 
NP,beautiful wild flower,Aesthetic,, 
NP,beauty and peace,Aesthetic,,CNP 
NP,beauty and serenity,Aesthetic,, 
NP,beauty and spirituality,Spiritual,,CNP 
NP,beauty and tranquility,Aesthetic,,CNP 
NP,beauty of God,Spiritual,, 
NP,beauty of lagoon,Aesthetic,,CNP
NP,beauty of landscape,Aesthetic,,CNP 
NP,beauty of mountain,Aesthetic,,CNP 
NP,beauty of nature,Aesthetic,,CNP 
VP,become green subtropical forest,Identity,1,CNP
VP,become green subtropical forest,Biological,2,CNP
VP,begin hike,Recreational,, 
VP,begin our hike,Recreational,, 
NP,beloved Ecuador,Aesthetic,,CNP
NP,big geyser,Identity,, 
NP,big hike,Recreational,, 
NP,big horn,Identity,, 
NP,big horn sheep,Biological,, 
NP,big lake,Aesthetic,1,CNP 
NP,big lake,Identity,2,CNP 
NP,big tree,Biological,, 
NP,big waterfall,Identity,, 
NP,bighorn sheep,Biological,, 
VP,bike along,Recreational,, 
VP,bike around,Recreational,, 
VP,bike loop,Recreational,, 
NP,bike ride,Recreational,, 
VP,bike to,Recreational,, 
NP,bike tour,Recreational,, 
VPNP,bike trail,Recreational,,  
VP,bike up,Recreational,, 
,bike up mountain,Recreational,,
,bike up road,Recreational,,
NP,biodiverse national park,Biological,,CNP
NP,biological diversity,Biological,, 
NP,birch tree,Biological,, 
NP,bird and alligator,Biological,, 
NP,bird and animal,Biological,, 
NP,bird and fish,Biological,, 
NP,bird and flora,Biological,,CNP 
NP,bird and flower,Biological,,CNP 
NP,bird and gator,Biological,, 
NP,bird and llama,Biological,,CNP
NP,bird and plant,Biological,,CNP 
NP,bird life,Biological,,CNP 
NP,bird nest,Biological,, 
NP,bird of prey,Biological,, 
NP,bird specie,Biological,,CNP 
NP,bird watching,Recreational,1,CNP 
NP,bird watching,Biological,2,CNP 
NP,bison and elk,Biological,, 
NP,bison herd,Biological,, 
NP,bit of history,Cultural,, 
NP,black bear,Biological,, 
VP,bloom flower,Biological,, 
VP,bloom plant,Biological,, 
VP,bloom tree,Biological,, 
VP,blow our mind,Spiritual,, 
NP,blue bird,Biological,, 
NP,blue heron,Biological,, 
NP,blue lake,Identity,, 
NP,blue sky,Aesthetic,, 
NP,boardwalk trail,Recreational,, 
NP,boat cruise,Recreational,, 
VP,boat on lake,Recreational,, 
NP,boat ride,Recreational,, 
VPNP,boat tour,Recreational,,  
NP,boat trip,Recreational,, 
NP,boiling water,Identity,1, 
NP,boiling water,Biological,2, 
VP,book boat,Recreational,, 
VP,book boat tour,Recreational,, 
VP,book canoe,Recreational,, 
VP,book helicopter,Recreational,, 
VP,breathe air,Spiritual,, 
VP,breathe deeply,Spiritual,,CNP 
VP,breathe fresh air,Spiritual,,CNP 
VP,breathe in,Spiritual,,CNP 
,breathe in beauty,Spiritual,,
,breathe in fresh air,Spiritual,,
,breathe in mountain air,Spiritual,,
VP,breathe peace,Spiritual,,CNP
VP,breathe peace and tranquility,Spiritual,,CNP
VP,breathe pure air,Spiritual,,CNP
VP,breathe so much peace,Spiritual,,CNP
NP,breathtaking beauty,Aesthetic,, 
NP,breathtaking landscape,Aesthetic,,CNP 
NP,breathtaking park,Aesthetic,,CNP 
NP,breathtaking picture,Aesthetic,,CNP 
NP,breathtaking scenery,Aesthetic,, 
NP,breathtaking view,Aesthetic,,CNP 
NP,breathtaking vista,Aesthetic,,CNP 
NP,brewery in ruin,Cultural,,CNP
NP,brilliant view,Aesthetic,, 
VP,bring friend,Social,, 
VP,bring history,Cultural,, 
VP,bring kid,Social,,CNP
VP,bring our child,Social,, 
VP,bring our daughter,Social,, 
VP,bring our dog,Recreational,1, 
VP,bring our dog,Social,2, 
VP,bring our family,Social,, 
VP,bring our grandchild,Social,, 
VP,bring our granddaughter,Social,, 
VP,bring our kid,Social,, 
VP,bring our lunch,Social,, 
VP,bring our own bike,Recreational,, 
VP,bring picnic,Social,, 
VP,bring small child,Social,, 
VP,bring small kid,Social,, 
VP,bring snack,Recreational,, 
VP,bring tear to my eye,Spiritual,, 
VP,bring to tear by sheer beauty,Aesthetic,, 
VP,bring young child,Social,, 
VP,bring young kid,Social,, 
VP,bring your binocular,Recreational,, 
NP,bristlecone pine,Biological,, 
NP,bromeliad and orchid,Biological,,CNP 
NP,brown bear,Biological,, 
NP,buffalo herd,Biological,, 
VP,build by early settler,Cultural,, 
VP,build by original settler,Cultural,, 
VP,build campfire,Recreational,, 
VP,build in 1920,Cultural,, 
VP,build in 1930,Cultural,, 
VP,build sand castle,Recreational,, 
VP,build snowman,Recreational,, 
VP,build with petrified wood,Identity,, 
NP,bull elk,Biological,, 
VP,burn tree,Identity,, 
VP,buy book,Educational,, 
VP,buy couple of souvenir,Recreational,, 
VP,buy postcard,Recreational,, 
VP,buy sled,Recreational,, 
VP,buy souvenir,Recreational,1, 
VP,buy souvenir,Social,2, 
NP,cabin and church,Spiritual,, 
NP,cactus garden,Biological,, 
VP,camp alone,Recreational,,CNP
VP,camp along,Recreational,, 
VP,camp around,Recreational,, 
VP,camp at bottom,Recreational,, 
VP,camp at campground,Recreational,1, 
VP,camp at campground,Social,2, 
VP,camp at campsite,Social,, 
VP,camp at park,Recreational,, 
VP,camp for couple of night,Recreational,, 
VP,camp for few day,Recreational,, 
VP,camp for night,Recreational,, 
VP,camp in campground,Social,, 
VP,camp in canyon,Recreational,, 
VP,camp in our rv,Recreational,, 
VP,camp in park,Recreational,, 
VP,camp in park campground,Recreational,, 
VP,camp in tent,Recreational,, 
VP,camp in travel trailer,Recreational,, 
VP,camp in valley,Recreational,, 
VP,camp inside park,Recreational,, 
VP,camp night,Recreational,,CNP
VP,camp on beach,Recreational,, 
VP,camp on island,Recreational,, 
VP,camp on top,Recreational,, 
VP,camp out,Recreational,, 
VP,camp outside,Recreational,, 
VP,camp overnight,Recreational,,CNP 
NP,camp site,Recreational,, 
VP,camp there,Recreational,,CNP 
NP,camp trip,Recreational,,CNP 
VP,camp under star,Recreational,, 
,camp with cousin,Social,,
NP,camp with friend,Social,,CNP 
,camp with kid,Social,,
NP,camping at night,Recreational,,CNP 
NP,camping day,Recreational,,CNP 
NP,camping site,Recreational,, 
NP,camping spot,Recreational,, 
NP,camping trip,Recreational,,CNP 
NP,camping with friend,Social,,CNP
VP,canoe on,Recreational,, 
NP,canoe tour,Recreational,, 
NP,canoe trip,Recreational,, 
NP,canopy of tree,Biological,, 
NP,canyon view,Aesthetic,, 
VP,captivate by,Aesthetic,, 
VP,capture beauty,Aesthetic,, 
VP,capture breathtaking view,Aesthetic,, 
VP,capture grandeur,Aesthetic,, 
VP,capture memory,Spiritual,1, 
VP,capture memory,Social,2, 
VP,capture moment,Spiritual,1, 
VP,capture moment,Social,2, 
VP,capture sunrise,Aesthetic,, 
VP,capture sunset,Aesthetic,, 
VP,capture view,Aesthetic,, 
NP,cardio workout,Recreational,, 
VP,carry baby,Social,, 
VP,carry fishing rod,Recreational,,CNP
VP,carve into rock,Recreational,1, 
VP,carve into rock,Cultural,2, 
VP,catch boat,Recreational,, 
VP,catch fish,Recreational,,CNP 
VP,catch glimpse of wildlife,Biological,, 
VP,catch morning light,Aesthetic,, 
VP,catch rainbow,Aesthetic,, 
VP,catch salmon,Recreational,, 
VP,catch sunrise,Aesthetic,, 
VP,catch sunset,Aesthetic,, 
